City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,polatsk,55.4859,28.7756,-4.69,96,100,5.37,BY,2023-11-30 03:30:14
69,avarua,-21.2078,-159.775,27.03,69,75,5.66,CK,2023-11-30 03:30:14
70,newman,37.3138,-121.0208,11.83,78,7,2.63,US,2023-11-30 03:27:12
71,stephenville,32.2207,-98.2023,14.37,65,100,3.6,US,2023-11-30 03:28:26
72,buala,-8.145,159.5921,29.52,74,100,1.82,SB,2023-11-30 03:30:15
73,langxiang,46.95,128.8833,-13.87,76,92,3.23,CN,2023-11-30 03:30:16
74,port alfred,-33.5906,26.891,16.49,72,15,5.68,ZA,2023-11-30 03:30:16
75,anapolis,-16.3267,-48.9528,22.78,78,0,3.09,BR,2023-11-30 03:29:07
76,edinburgh of the seven seas,-37.0676,-12.3116,12.27,64,28,9.69,SH,2023-11-30 03:30:17
77,modasa,23.4667,73.3,23.48,60,9,4.45,IN,2023-11-30 03:30:17
78,aver-o-mar,41.4078,-8.7812,14.31,100,100,1.54,PT,2023-11-30 03:30:18
79,hawaiian paradise park,19.5933,-154.9731,25.73,93,75,0.45,US,2023-11-30 03:30:18
80,formosa do rio preto,-11.0483,-45.1931,23.75,51,57,0.88,BR,2023-11-30 03:30:19
81,angamali,10.2,76.4,28.97,74,40,1.54,IN,2023-11-30 03:30:19
82,ormara,25.2088,64.6357,23.92,65,25,2.92,PK,2023-11-30 03:30:20
83,bredasdorp,-34.5322,20.0403,15.59,79,92,2.37,ZA,2023-11-30 03:30:20
84,nabire,-3.3667,135.4833,29.09,77,86,1.74,ID,2023-11-30 03:30:21
85,carnarvon,-24.8667,113.6333,25.34,55,1,6.09,AU,2023-11-30 03:30:21
86,vilyuchinsk,52.9306,158.4028,-3.85,73,100,4.6,RU,2023-11-30 03:30:22
87,aurangabad,19.8833,75.3333,23.99,69,65,3.5,IN,2023-11-30 03:30:23
88,buka,40.8108,69.1986,8.91,78,100,2.1,UZ,2023-11-30 03:30:23
89,vila velha,-20.3297,-40.2925,25.97,86,0,5.81,BR,2023-11-30 03:30:24
90,ola,59.5833,151.2833,-18.81,77,28,2.31,RU,2023-11-30 03:30:24
91,longyearbyen,78.2186,15.6401,-4.09,86,75,7.2,SJ,2023-11-30 03:30:25
92,whitehorse,60.7161,-135.0538,-8.88,85,75,7.2,CA,2023-11-30 03:28:52
93,mahina,-17.5065,-149.489,29.87,70,75,3.6,PF,2023-11-30 03:30:26
94,kochenevo,55.0218,82.202,-4.34,83,100,3.25,RU,2023-11-30 03:30:26
95,kruisfontein,-34.0033,24.7314,11.88,83,44,2.64,ZA,2023-11-30 03:30:27
96,maturin,9.75,-63.1767,21.98,97,3,2.01,VE,2023-11-30 03:30:28
97,ta`u,-14.2336,-169.5144,27.81,83,78,8.93,AS,2023-11-30 03:30:28
98,codrington,-38.2667,141.9667,17.68,62,97,9.85,AU,2023-11-30 03:30:29
99,conde,-7.2597,-34.9075,24.7,88,75,2.06,BR,2023-11-30 03:30:29
100,bel ombre,-4.6167,55.4167,25.91,89,20,1.03,SC,2023-11-30 03:30:30
101,terrell,32.736,-96.2753,15.28,54,100,4.63,US,2023-11-30 03:30:30
102,hamilton,39.1834,-84.5333,4.35,77,0,2.57,US,2023-11-30 03:30:32
103,birjand,32.8663,59.2211,2.26,87,0,3.09,IR,2023-11-30 03:30:32
104,wailua homesteads,22.0669,-159.378,23.24,87,75,6.17,US,2023-11-30 03:30:33
105,praia da vitoria,38.7333,-27.0667,15.14,67,75,14.86,PT,2023-11-30 03:30:33
106,susuman,62.7833,148.1667,-23.18,100,97,0.9,RU,2023-11-30 03:30:34
107,nalut,30.3333,10.85,13.24,29,0,3.17,LY,2023-11-30 03:30:34
108,meiktila,20.8667,95.8667,24.49,66,99,4.5,MM,2023-11-30 03:30:35
109,agri,39.6667,43.1667,-3.94,68,48,0.8,TR,2023-11-30 03:30:36
110,vicksburg,32.3526,-90.8779,5.82,76,0,0.0,US,2023-11-30 03:26:48
111,hobyo,5.3505,48.5268,26.48,75,94,8.27,SO,2023-11-30 03:30:36
112,nuuk,64.1835,-51.7216,3.34,81,100,5.14,GL,2023-11-30 03:30:37
113,salalah,17.0151,54.0924,23.05,78,0,1.54,OM,2023-11-30 03:30:37
114,lata,40.1629,-8.3327,17.12,99,100,2.17,PT,2023-11-30 03:30:38
115,hithadhoo,-0.6,73.0833,27.93,75,100,6.2,MV,2023-11-30 03:30:39
116,egilsstadir,65.2653,-14.3948,1.95,69,75,4.12,IS,2023-11-30 03:30:40
117,hasaki,35.7333,140.8333,17.94,31,1,5.53,JP,2023-11-30 03:30:40
118,haiku-pauwela,20.9219,-156.3051,26.01,81,40,3.09,US,2023-11-30 03:30:42
119,enewetak,11.3474,162.3373,27.66,79,54,8.91,MH,2023-11-30 03:30:43
120,mount isa,-20.7333,139.5,29.87,35,100,5.14,AU,2023-11-30 03:30:43
121,yanam,16.7333,82.2167,28.24,60,64,4.31,IN,2023-11-30 03:30:44
122,kotlas,61.2611,46.6556,-12.19,98,68,0.89,RU,2023-11-30 03:30:44
123,fada,9.5667,8.3,20.67,31,1,2.03,NG,2023-11-30 03:30:45
124,banda aceh,5.5577,95.3222,26.93,82,99,3.35,ID,2023-11-30 03:30:45
125,suva,-18.1416,178.4415,30.71,62,40,3.6,FJ,2023-11-30 03:29:26
126,grand rapids,42.9634,-85.6681,3.75,92,0,4.12,US,2023-11-30 03:25:54
127,polyarnyy,69.1989,33.4478,-1.41,93,100,4.98,RU,2023-11-30 03:30:46
128,closepet,12.7167,77.3,24.17,76,100,4.99,IN,2023-11-30 03:30:46
129,anadyr,64.75,177.4833,-2.72,93,75,6.0,RU,2023-11-30 03:30:46
130,shushtar,32.0455,48.8567,14.95,57,0,0.83,IR,2023-11-30 03:30:47
131,birao,10.2849,22.7882,21.45,33,95,2.62,CF,2023-11-30 03:30:47
132,kivioli,59.3531,26.9711,-3.55,95,100,5.79,EE,2023-11-30 03:30:47
133,saudarkrokur,65.7461,-19.6394,1.4,85,100,1.72,IS,2023-11-30 03:30:48
134,santa maria,-29.6842,-53.8069,19.61,94,0,0.0,BR,2023-11-30 03:30:48
135,kertih,4.5141,103.4483,28.01,89,20,2.06,MY,2023-11-30 03:30:48
136,georgiyevka,43.0369,74.7114,5.02,100,75,2.0,KZ,2023-11-30 03:30:49
137,pivijay,10.4617,-74.6162,25.01,93,63,2.45,CO,2023-11-30 03:30:49
138,tura,25.5198,90.2201,25.05,48,0,0.3,IN,2023-11-30 03:30:50
139,karratha,-20.7377,116.8463,31.7,35,0,6.57,AU,2023-11-30 03:30:50
140,puerto lempira,15.2667,-83.7667,24.91,90,21,1.93,HN,2023-11-30 03:30:50
141,ban nong wua so,17.2675,103.2247,29.92,53,56,3.16,TH,2023-11-30 03:30:51
142,minas de marcona,-15.2119,-75.1103,14.64,81,83,5.44,PE,2023-11-30 03:30:51
143,beira,-19.8436,34.8389,23.05,100,100,4.12,MZ,2023-11-30 03:30:51
144,swan hill,-35.3378,143.5544,22.52,49,39,6.34,AU,2023-11-30 03:26:22
145,mitu,1.1983,-70.1733,22.27,98,100,0.91,CO,2023-11-30 03:30:52
146,papao,-17.75,-149.55,29.82,87,98,10.42,PF,2023-11-30 03:30:52
147,dumai,1.6833,101.45,24.33,97,100,2.22,ID,2023-11-30 03:30:52
148,margate,51.3813,1.3862,2.61,73,47,3.55,GB,2023-11-30 03:29:11
149,rongelap,11.1635,166.8941,27.81,67,77,8.35,MH,2023-11-30 03:30:53
150,kapuskasing,49.4169,-82.4331,-0.95,80,100,6.69,CA,2023-11-30 03:27:02
151,wewak,-3.5534,143.6268,29.36,75,93,3.49,PG,2023-11-30 03:30:53
152,rechytsa,52.3617,30.3916,-2.25,88,100,8.77,BY,2023-11-30 03:30:53
153,coalcoman de vazquez pallares,18.7833,-103.15,18.01,88,77,0.78,MX,2023-11-30 03:30:53
154,svetogorsk,61.1121,28.8632,-4.23,90,100,1.34,RU,2023-11-30 03:30:54
155,port elizabeth,-33.918,25.5701,15.16,84,0,2.57,ZA,2023-11-30 03:30:54
156,badami,15.915,75.6768,25.73,67,59,4.83,IN,2023-11-30 03:30:54
157,ponta delgada,37.7333,-25.6667,17.33,88,75,8.75,PT,2023-11-30 03:30:54
158,dhidhdhoo,6.8833,73.1,28.33,72,29,2.0,MV,2023-11-30 03:30:55
